ID,Outcome
1000_554,0.482806652784
1000_568,0.500100910664
1000_575,0.524503946304
1000_582,0.479675084352
1000_589,0.459440797567
1000_596,0.477813899517
1000_603,0.473346561193
1000_610,0.465927749872
1000_617,0.485966265202
1000_624,0.464929312468
1000_631,0.493153035641
1000_638,0.458554893732
1000_645,0.488340735435
1000_652,0.488785207272
1000_659,0.437000066042
1000_673,0.472241401672
1000_680,0.426751405001
1000_687,0.423492640257
1000_694,0.48733702302
1000_708,0.438218861818
1000_715,0.468337595463
1000_722,0.450401067734
1000_729,0.428963810205
1000_736,0.467522054911
1000_743,0.501857280731
1000_750,0.500635921955
1000_757,0.511379659176
1000_771,0.468374729156
1000_778,0.42508739233
1000_785,0.48067766428
1000_792,0.451028764248
1000_799,0.451380074024
1000_806,0.47078999877
1000_813,0.428707420826
1000_820,0.509978830814
1000_827,0.572957277298
1000_834,0.531549096107
1000_841,0.515330910683
1000_848,0.51007193327
1000_855,0.540130138397
1000_862,0.557073175907
1000_869,0.577073335648
1000_890,0.556139349937
1000_904,0.563490211964
1000_911,0.546773135662
1000_918,0.485777676105
1000_925,0.538460552692
1000_939,0.505816042423
1000_946,0.545765221119
1000_953,0.531881511211
1001_554,0.456613749266
1001_568,0.465886980295
1001_575,0.484461516142
1001_582,0.517856419086
1001_589,0.505084335804
1001_596,0.498252809048
1001_603,0.455574780703
1001_610,0.505320668221
1001_617,0.502617657185
1001_624,0.481778621674
1001_631,0.510432481766
1001_638,0.490715116262
1001_645,0.489117622375
1001_652,0.499239116907
1001_659,0.497681498528
1001_673,0.493242681026
1001_680,0.520702183247
1001_687,0.491562008858
1001_694,0.516070127487
1001_708,0.483177781105
1001_715,0.499670892954
1001_722,0.518096923828
1001_729,0.479222416878
1001_736,0.463231533766
1001_743,0.50325268507
1001_750,0.484540760517
1001_757,0.491769164801
1001_771,0.500290870667
1001_778,0.489389181137
1001_785,0.488794088364
1001_792,0.502239942551
1001_799,0.468366920948
1001_806,0.483375132084
1001_813,0.486265450716
1001_820,0.461916863918
1001_827,0.442254632711
1001_834,0.489362090826
1001_841,0.490720629692
1001_848,0.477052211761
1001_855,0.470910638571
1001_862,0.45395848155
1001_869,0.455151945353
1001_890,0.439266443253
1001_904,0.479338496923
1001_911,0.419761836529
1001_918,0.470873832703
1001_925,0.479564428329
1001_939,0.438150107861
1001_946,0.453551888466
1001_953,0.389081001282
1002_554,0.608692765236
1002_568,0.471338421106
1002_575,0.567721307278
1002_582,0.533914089203
1002_589,0.512903511524
1002_596,0.500440597534
1002_603,0.520281136036
1002_610,0.515058040619
1002_617,0.481311142445
1002_624,0.469573944807
1002_631,0.49978390336
1002_638,0.540897965431
1002_645,0.512458741665
1002_652,0.511683225632
1002_659,0.492760568857
1002_673,0.484292417765
1002_680,0.478292405605
1002_687,0.462899744511
1002_694,0.520312726498
1002_708,0.501812279224
1002_715,0.514023780823
1002_722,0.492342531681
1002_729,0.442076146603
1002_736,0.43966576457
1002_743,0.484440028667
1002_750,0.490323364735
1002_757,0.517236828804
1002_771,0.521014809608
1002_778,0.442510426044
1002_785,0.49595579505
1002_792,0.464766919613
1002_799,0.478410810232
1002_806,0.48414555192
1002_813,0.464685916901
1002_820,0.474707305431
1002_827,0.474508821964
1002_834,0.542717158794
1002_841,0.48046541214
1002_848,0.450138062239
1002_855,0.437293678522
1002_862,0.478519946337
1002_869,0.476207137108
1002_890,0.467565625906
1002_904,0.422322899103
1002_911,0.481346487999
1002_918,0.42097774148
1002_925,0.419636517763
1002_939,0.486525148153
1002_946,0.436934441328
1002_953,0.411378413439
1003_603,0.554605007172
1003_610,0.549001574516
1003_617,0.48153847456
1003_624,0.514241039753
1003_631,0.538343250751
1003_638,0.522950768471
1003_645,0.502331972122
1003_652,0.510408103466
1003_659,0.587361931801
1003_673,0.51721906662
1003_680,0.527952373028
1003_687,0.514605104923
1003_694,0.628379940987
1003_708,0.51142603159
1003_715,0.518699288368
1003_722,0.487421631813
1003_729,0.461236149073
1003_736,0.50322073698
1003_743,0.446220606565
1003_750,0.463348060846
1003_757,0.448332458735
1003_771,0.530774414539
1003_778,0.500122606754
1003_785,0.458784669638
1003_792,0.538057684898
1003_799,0.486233711243
1003_806,0.50166875124
1003_813,0.490935772657
1003_820,0.484169363976
1003_827,0.609750449657
1003_834,0.538493990898
1003_841,0.444655716419
1003_848,0.469276577234
1003_855,0.469134926796
1003_862,0.472486585379
1003_869,0.478716790676
1003_890,0.508038938046
1003_904,0.486596018076
1003_911,0.463492184877
1003_918,0.448940128088
1003_925,0.416605949402
1003_939,0.434689313173
1003_946,0.461912095547
1003_953,0.453665971756
1004_554,0.443027734756
1004_568,0.383477717638
1004_575,0.4273442626
1004_582,0.412180960178
1004_589,0.433544158936
1004_596,0.39015775919
1004_603,0.357295036316
1004_610,0.376504302025
1004_617,0.339151203632
1004_624,0.413891017437
1004_631,0.352742791176
1004_638,0.339151203632
1004_645,0.378325343132
1004_652,0.339151203632
1004_659,0.337911635637
1004_673,0.382339626551
1004_680,0.386362552643
1004_687,0.294590711594
1004_694,0.421672016382
1004_708,0.340428501368
1004_715,0.370277047157
1004_722,0.358768641949
1004_729,0.365799576044
1004_736,0.387716650963
1004_743,0.364434987307
1004_750,0.322065234184
1004_757,0.454467773438
1004_771,0.379680603743
1004_778,0.38918748498
1004_785,0.408334881067
1004_792,0.395206391811
1004_799,0.378170013428
1004_806,0.341617673635
1004_813,0.426408827305
1004_820,0.391117185354
1004_827,0.387660115957
1004_834,0.399638950825
1004_841,0.357447385788
1004_848,0.402029275894
1004_855,0.390497505665
1004_862,0.422969818115
1004_869,0.389125883579
1004_890,0.430887430906
1004_904,0.405109137297
1004_911,0.397490590811
1004_918,0.489292114973
1004_925,0.416217774153
1004_939,0.366863429546
1004_946,0.401561051607
1004_953,0.428248912096
1005_554,0.39705568552
1005_568,0.459674328566
1005_575,0.439918786287
1005_582,0.428689271212
1005_589,0.396118670702
1005_596,0.349676162004
1005_603,0.360066950321
1005_610,0.372302353382
1005_617,0.44836050272
1005_624,0.369864493608
1005_631,0.356269657612
1005_638,0.421665489674
1005_645,0.394782096148
1005_652,0.383611738682
1005_659,0.436461746693
1005_673,0.383690267801
1005_680,0.419392436743
1005_687,0.411679655313
1005_694,0.405563682318
1005_708,0.401766985655
1005_715,0.37343287468
1005_722,0.316579580307
1005_729,0.384903907776
1005_736,0.347442209721
1005_743,0.366524994373
1005_750,0.43055421114
1005_757,0.359217941761
1005_771,0.513384819031
1005_778,0.409664481878
1005_785,0.383060604334
1005_792,0.373604029417
1005_799,0.388100713491
1005_806,0.342049568892
1005_813,0.413999646902
1005_820,0.387660175562
1005_827,0.411406338215
1005_834,0.454310536385
1005_841,0.423607468605
1005_848,0.342641294003
1005_855,0.361841887236
1005_862,0.441070497036
1005_869,0.389776587486
1005_890,0.377755016088
1005_904,0.458607584238
1005_911,0.425494283438
1005_918,0.404069155455
1005_925,0.41281375289
1005_939,0.38467592001
1005_946,0.404069155455
1005_953,0.41198849678
1007_554,0.616415083408
1007_568,0.540604948997
1007_575,0.558034002781
1007_582,0.518331289291
1007_589,0.524028658867
1007_596,0.498900264502
1007_603,0.475813478231
1007_610,0.491707414389
1007_617,0.492985159159
1007_624,0.484584987164
1007_631,0.485331743956
1007_638,0.485412746668
1007_645,0.537301719189
1007_652,0.419861853123
1007_659,0.508211195469
1007_673,0.496608763933
1007_680,0.523639321327
1007_687,0.499447017908
1007_694,0.51648235321
1007_708,0.489610821009
1007_715,0.480400413275
1007_722,0.467611551285
1007_729,0.437231451273
1007_736,0.448227494955
1007_743,0.466273039579
1007_750,0.476521581411
1007_757,0.475756764412
1007_771,0.488855749369
1007_778,0.475132137537
1007_785,0.500997364521
1007_792,0.494589149952
1007_799,0.471534609795
1007_806,0.464742451906
1007_813,0.434225231409
1007_820,0.435490608215
1007_827,0.4261457026
1007_834,0.529732584953
1007_841,0.48468375206
1007_848,0.511116623878
1007_855,0.431721955538
1007_862,0.462834864855
1007_869,0.476452857256
1007_890,0.467457801104
1007_904,0.451823562384
1007_911,0.428980797529
1007_918,0.427956938744
1007_925,0.435560703278
1007_939,0.445581495762
1007_946,0.444250017405
1007_953,0.400203227997
1008_554,0.507230699062
1008_568,0.476157724857
1008_575,0.5389123559
1008_582,0.510187089443
1008_589,0.481516569853
1008_596,0.449619174004
1008_603,0.477998077869
1008_610,0.464662134647
1008_617,0.482508003712
1008_624,0.46421456337
1008_631,0.42374804616
1008_638,0.458386570215
1008_645,0.506313204765
1008_652,0.488945275545
1008_659,0.446599364281
1008_673,0.454166054726
1008_680,0.48489433527
1008_687,0.481614768505
